@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.instance.RemoveRange-R1-560-weka.filters.unsupervised.attribute.Remove-V-R24,27,29,26,30,31,33,99,102,109,62,63,65,68,69,6,5,9,82,83,86,119'

@attribute UEMPMEAN {'\'(-inf-14.9]\'','\'(14.9-27.8]\'','\'(27.8-inf)\''}
@attribute UEMP15OV numeric
@attribute UEMP27OV numeric
@attribute UEMP5TO14 numeric
@attribute CLAIMSx numeric
@attribute PAYEMS numeric
@attribute CES1021000001 numeric
@attribute CPIAUCSL numeric
@attribute CPIMEDSL numeric
@attribute PCEPI numeric
@attribute M1SL numeric
@attribute M2SL numeric
@attribute BOGMBASE numeric
@attribute BUSLOANS numeric
@attribute REALLN numeric
@attribute INDPRO numeric
@attribute RETAILx numeric
@attribute IPCONGD numeric
@attribute AAA numeric
@attribute BAA numeric
@attribute T10YFFM numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
'\'(14.9-27.8]\'',0.039206,-0.041744,0.217598,-0.169746,0.849946,-0.771757,0.6556,0.594903,0.668126,-0.218111,0.169812,-0.243666,0.154149,0.661559,1.082085,0.590451,1.323028,-0.618336,-0.612198,-0.140736,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.021446,-0.017517,0.206391,0.143543,0.851556,-0.730029,0.687333,0.601154,0.692393,-0.217947,0.175499,-0.240662,0.160507,0.67353,1.012432,0.59565,1.327418,-0.603418,-0.588146,-0.253676,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.003529,-0.030387,0.208632,0.000692,0.854365,-0.689765,0.690859,0.610247,0.696452,-0.218377,0.181187,-0.241066,0.177229,0.687752,1.055537,0.59645,1.325939,-0.521369,-0.495376,-0.190931,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.006859,-0.069757,0.192942,-0.162732,0.865601,-0.64218,0.679106,0.620477,0.691141,-0.218459,0.183997,-0.237426,0.187227,0.701562,1.094787,0.611949,1.321924,-0.495263,-0.464452,-0.278773,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.038494,-0.080356,0.155958,-0.166707,0.87062,-0.607773,0.679106,0.623319,0.691141,-0.218827,0.188574,-0.23188,0.204021,0.719471,1.112207,0.612869,1.353618,-0.51391,-0.488504,-0.423085,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.12674,-0.221178,0.094317,-0.263265,0.879078,-0.576294,0.69321,0.625592,0.703442,-0.217762,0.195692,-0.231245,0.220141,0.730539,1.117933,0.663919,1.314505,-0.543746,-0.515991,-0.536025,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.026441,-0.084899,-0.024481,-0.286645,0.888705,-0.53969,0.694385,0.634685,0.704969,-0.217988,0.199831,-0.23084,0.231806,0.746173,1.119476,0.650107,1.291836,-0.521369,-0.505683,-0.567397,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.069575,-0.11594,-0.124227,-0.23521,0.898331,-0.492105,0.697911,0.642641,0.709913,-0.217005,0.202288,-0.227836,0.244331,0.760373,1.127715,0.657089,1.317968,-0.454238,-0.45758,-0.536025,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.080675,-0.099284,0.036039,-0.226559,0.90376,-0.421094,0.709664,0.649461,0.721787,-0.217373,0.208598,-0.228356,0.264669,0.778789,1.138496,0.666051,1.330855,-0.338624,-0.364809,-0.492104,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.108425,-0.09777,0.088713,-0.090255,0.905054,-0.407917,0.716716,0.656281,0.728686,-0.216185,0.209759,-0.226392,0.287039,0.794788,1.139413,0.659869,1.323385,-0.2976,-0.340757,-0.510928,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.206106,-0.240105,-0.03793,-0.217675,0.907768,-0.364724,0.722592,0.661964,0.735035,-0.218602,0.216187,-0.226507,0.306362,0.81421,1.151716,0.669829,1.346522,-0.319977,-0.330449,-0.5423,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.116195,-0.119726,0.018107,-0.155485,0.913891,-0.333977,0.735521,0.667079,0.743856,-0.219217,0.22322,-0.227027,0.320565,0.829477,1.149321,0.675687,1.304443,-0.334895,-0.337321,-0.71171,'\'(-inf-6.266667]\''
