@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.instance.RemoveRange-R1-560-weka.filters.unsupervised.attribute.Remove-V-R24,27,29,26,30,31,21,23,22,28,25,52,47,79,80,81,6,5,60,38,119'

@attribute UEMPMEAN {'\'(-inf-14.9]\'','\'(14.9-27.8]\'','\'(27.8-inf)\''}
@attribute UEMP15OV numeric
@attribute UEMP27OV numeric
@attribute UEMP5TO14 numeric
@attribute CLAIMSx numeric
@attribute PAYEMS numeric
@attribute HWIURATIO numeric
@attribute CE16OV numeric
@attribute CLF16OV numeric
@attribute UEMP15T26 numeric
@attribute UEMPLT5 numeric
@attribute PERMIT numeric
@attribute HOUST numeric
@attribute GS1 numeric
@attribute GS5 numeric
@attribute GS10 numeric
@attribute INDPRO numeric
@attribute RETAILx numeric
@attribute BUSINVx numeric
@attribute SRVPRD numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
'\'(14.9-27.8]\'',0.039206,-0.041744,0.217598,-0.169746,0.849946,-0.272768,0.877478,0.837604,0.212355,-0.04053,2.23597,1.744044,-0.291501,-0.428874,-0.513766,1.082085,0.590451,0.461513,0.83394,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.021446,-0.017517,0.206391,0.143543,0.851556,-0.237027,0.876393,0.843068,0.105139,0.224555,2.352144,1.890922,-0.297548,-0.464531,-0.534426,1.012432,0.59565,0.470671,0.835577,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.003529,-0.030387,0.208632,0.000692,0.854365,-0.280153,0.881226,0.844535,0.057488,0.164121,2.106595,1.665359,-0.197773,-0.360803,-0.4449,1.055537,0.59645,0.485243,0.83627,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.006859,-0.069757,0.192942,-0.162732,0.865601,-0.279938,0.879615,0.846534,0.135772,0.306964,2.23333,1.880431,-0.152421,-0.321905,-0.417353,1.094787,0.611949,0.496698,0.84543,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.038494,-0.080356,0.155958,-0.166707,0.87062,-0.201871,0.887933,0.845441,0.062594,-0.015807,1.974579,1.479139,-0.146374,-0.341354,-0.441457,1.112207,0.612869,0.51588,0.849868,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.12674,-0.221178,0.094317,-0.263265,0.879078,-0.102329,0.901019,0.851186,0.108543,-0.09959,2.217488,2.210907,-0.116139,-0.35432,-0.458673,1.117933,0.663919,0.529433,0.855408,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',0.026441,-0.084899,-0.024481,-0.286645,0.888705,-0.161791,0.911112,0.864518,0.270217,-0.030916,2.030026,1.806992,-0.046599,-0.283007,-0.407024,1.119476,0.650107,0.534946,0.862869,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.069575,-0.11594,-0.124227,-0.23521,0.898331,0.033559,0.92045,0.869889,0.047277,0.081711,1.969299,1.413568,-0.019388,-0.234384,-0.355374,1.127715,0.657089,0.55115,0.871399,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.080675,-0.099284,0.036039,-0.226559,0.90376,0.044144,0.921108,0.872012,-0.0242,0.089952,1.652461,1.02539,0.019917,-0.176037,-0.262405,1.138496,0.666051,0.566294,0.874925,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.108425,-0.09777,0.088713,-0.090255,0.905054,-0.052984,0.931892,0.877882,-0.114397,-0.074868,1.406912,1.342752,0.050152,-0.143623,-0.221086,1.139413,0.659869,0.585581,0.877254,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.206106,-0.240105,-0.03793,-0.217675,0.907768,0.004239,0.940572,0.88678,-0.092274,0.144892,1.30658,0.975556,0.098527,-0.120932,-0.221086,1.151716,0.669829,0.600428,0.879961,'\'(-inf-6.266667]\''
'\'(14.9-27.8]\'',-0.116195,-0.119726,0.018107,-0.155485,0.913891,-0.131589,0.935607,0.887499,-0.085466,0.166868,1.031987,0.805073,0.116668,-0.130657,-0.227972,1.149321,0.675687,0.61176,0.886289,'\'(-inf-6.266667]\''
