@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R24,27,29,26,30,31,33,99,102,109,62,63,65,68,69,6,5,9,82,83,86'

@attribute UEMPMEAN {'\'(-inf-14.9]\'','\'(14.9-27.8]\'','\'(27.8-inf)\''}
@attribute UEMP15OV numeric
@attribute UEMP27OV numeric
@attribute UEMP5TO14 numeric
@attribute CLAIMSx numeric
@attribute PAYEMS numeric
@attribute CES1021000001 numeric
@attribute CPIAUCSL numeric
@attribute CPIMEDSL numeric
@attribute PCEPI numeric
@attribute M1SL numeric
@attribute M2SL numeric
@attribute BOGMBASE numeric
@attribute BUSLOANS numeric
@attribute REALLN numeric
@attribute INDPRO numeric
@attribute RETAILx numeric
@attribute IPCONGD numeric
@attribute AAA numeric
@attribute BAA numeric
@attribute T10YFFM numeric

@data
'\'(-inf-14.9]\'',-1.383827,-1.103204,-2.358978,-1.646155,-3.395097,-4.866976,-1.578646,-1.213464,-1.663206,-0.499087,-0.935794,-0.692391,-1.069879,-0.934333,-2.328709,-1.163298,-3.157459,-1.77075,-1.972839,0.009851
'\'(14.9-27.8]\'',-0.611815,-0.499792,-1.054439,-0.285111,-1.738937,0.316104,-1.308209,-1.127649,-1.383484,-0.471866,-0.888578,-0.666682,-1.033752,-0.923614,-1.700958,-1.070886,-2.024382,-0.980097,-0.986718,0.348671
'\'(14.9-27.8]\'',-0.67786,-0.552789,-1.060043,-0.32308,-1.732309,0.251681,-1.308327,-1.12708,-1.383026,-0.471763,-0.888393,-0.667086,-1.033743,-0.923443,-1.68504,-1.070207,-2.014511,-0.972638,-0.979846,0.342396
'\'(14.9-27.8]\'',-0.715046,-0.592158,-1.139615,-0.428813,-1.72202,0.250949,-1.308679,-1.126512,-1.382721,-0.471702,-0.888141,-0.667144,-1.033854,-0.923333,-1.673104,-1.069429,-2.014511,-0.976367,-0.99359,0.129065
'\'(-inf-14.9]\'',-0.809951,-0.629257,-1.317813,-0.493963,-1.712331,0.259002,-1.308562,-1.126512,-1.381805,-0.471702,-0.887989,-0.666913,-1.033325,-0.92316,-1.655195,-1.069371,-1.99313,-0.939073,-0.990154,0.110242
'\'(-inf-14.9]\'',-0.851022,-0.671654,-1.23824,-0.491443,-1.705103,0.294142,-1.307857,-1.125944,-1.381561,-0.471497,-0.887636,-0.666913,-1.0324,-0.922994,-1.64226,-1.068635,-1.986552,-0.88686,-0.955794,0.267103
'\'(-inf-14.9]\'',-0.852132,-0.692096,-1.285311,-0.438576,-1.700968,0.330745,-1.307034,-1.125376,-1.380218,-0.471395,-0.887316,-0.666798,-1.031368,-0.922854,-1.641268,-1.067773,-1.99313,-0.853294,-0.928307,-0.021521
'\'(-inf-14.9]\'',-0.893202,-0.732223,-1.191169,-0.415243,-1.697086,0.406149,-1.306564,-1.125376,-1.379241,-0.471292,-0.887131,-0.666509,-1.03072,-0.922739,-1.66216,-1.067805,-1.975037,-0.849565,-0.914563,-0.03407
'\'(-inf-14.9]\'',-0.893202,-0.742065,-1.1172,-0.303511,-1.711857,-0.02065,-1.306211,-1.124807,-1.37857,-0.471251,-0.886929,-0.666567,-1.030195,-0.922645,-1.691009,-1.067195,-1.973388,-0.864483,-0.911127,-0.03407
'\'(-inf-14.9]\'',-0.889872,-0.769321,-0.935641,-0.365215,-1.708953,-0.126801,-1.305388,-1.124239,-1.377349,-0.471435,-0.886879,-0.666567,-1.029983,-0.922561,-1.692005,-1.068451,-1.978326,-0.830917,-0.880203,-0.040345
'\'(-inf-14.9]\'',-0.896532,-0.768564,-0.916588,-0.18579,-1.711163,-0.104106,-1.304213,-1.124239,-1.376219,-0.471538,-0.886912,-0.666567,-1.029797,-0.922454,-1.697975,-1.067757,-1.984903,-0.81227,-0.845844,-0.272499
'\'(-inf-14.9]\'',-0.841587,-0.745851,-1.014093,-0.006027,-1.702452,0.118444,-1.304213,-1.123671,-1.375914,-0.471558,-0.886811,-0.666451,-1.029442,-0.922363,-1.693001,-1.070276,-2.014511,-0.815999,-0.852716,-0.285048
'\'(-inf-14.9]\'',-0.875997,-0.753422,-1.107114,-0.37539,-1.685408,0.18067,-1.303508,-1.123671,-1.375365,-0.471661,-0.886694,-0.666104,-1.028706,-0.922152,-1.642263,-1.070707,-1.9701,-0.80854,-0.845844,-0.178382
'\'(-inf-14.9]\'',-0.878772,-0.754936,-1.193411,-0.355578,-1.682252,0.118444,-1.303978,-1.123102,-1.375639,-0.47164,-0.886626,-0.666567,-1.028291,-0.922086,-1.61938,-1.06821,-1.925688,-0.797352,-0.825228,-0.159559
'\'(-inf-14.9]\'',-0.919842,-0.782192,-1.205739,-0.381132,-1.674709,0.154316,-1.303508,-1.122534,-1.375151,-0.471661,-0.886593,-0.667202,-1.028095,-0.922044,-1.627337,-1.067857,-1.942136,-0.815999,-0.825228,-0.291322
'\'(-inf-14.9]\'',-0.854352,-0.773863,-1.109355,-0.20158,-1.676571,0.14187,-1.303508,-1.121966,-1.374876,-0.471681,-0.886441,-0.66726,-1.02781,-0.921993,-1.635298,-1.067962,-1.940492,-0.842106,-0.856151,-0.360341
'\'(-inf-14.9]\'',-0.889317,-0.780677,-1.241602,-0.245338,-1.66524,0.168957,-1.30198,-1.121397,-1.373167,-0.471722,-0.886307,-0.667144,-1.027195,-0.921967,-1.64226,-1.06546,-1.930621,-0.857024,-0.873331,-0.391713
'\'(-inf-14.9]\'',-0.944263,-0.812476,-1.160909,-0.162307,-1.675908,0.11698,-1.301627,-1.121397,-1.372679,-0.471722,-0.886172,-0.667144,-1.026728,-0.921972,-1.643255,-1.066922,-1.922399,-0.853294,-0.845844,-0.303871
'\'(-inf-14.9]\'',-0.912627,-0.807176,-1.03987,-0.141606,-1.679916,0.089161,-1.301157,-1.121397,-1.372465,-0.471722,-0.885936,-0.666971,-1.026155,-0.921989,-1.654199,-1.067053,-1.932266,-0.857024,-0.852716,-0.096815
'\'(-inf-14.9]\'',-0.875442,-0.804148,-1.037628,-0.084228,-1.681242,-0.049201,-1.301862,-1.120829,-1.37161,-0.471599,-0.885633,-0.666682,-1.026106,-0.921984,-1.657186,-1.06802,-1.945425,-0.871942,-0.866459,-0.197206
'\'(-inf-14.9]\'',-0.872112,-0.796577,-0.922192,0.044277,-1.682315,0.095018,-1.301157,-1.120829,-1.370817,-0.471374,-0.885162,-0.666798,-1.026194,-0.921959,-1.658178,-1.067694,-1.942136,-0.920425,-0.914563,-0.103089
'\'(-inf-14.9]\'',-0.841587,-0.754179,-1.005127,0.008585,-1.683735,0.062074,-1.301157,-1.120261,-1.370542,-0.471395,-0.88491,-0.667029,-1.0261,-0.921927,-1.667134,-1.067784,-1.948718,-0.931614,-0.938615,0.13534
'\'(-inf-14.9]\'',-0.726701,-0.678468,-0.927796,0.10786,-1.686418,0.054022,-1.299512,-1.120261,-1.369993,-0.471456,-0.884725,-0.666913,-1.025946,-0.92188,-1.668126,-1.066943,-1.93391,-0.912966,-0.904255,0.273377
'\'(-inf-14.9]\'',-0.707831,-0.690582,-0.832533,0.148406,-1.692131,-0.025774,-1.299159,-1.119692,-1.368375,-0.471456,-0.884489,-0.666798,-1.025751,-0.921879,-1.680066,-1.06832,-1.960229,-0.909237,-0.914563,0.317298
'\'(-inf-14.9]\'',-0.752786,-0.687554,-0.719339,0.095104,-1.699043,-0.086537,-1.298807,-1.119124,-1.368283,-0.471497,-0.884237,-0.667086,-1.025229,-0.921804,-1.695984,-1.069014,-1.9701,-0.894319,-0.907691,0.549453
'\'(-inf-14.9]\'',-0.649555,-0.622443,-0.709252,0.133391,-1.700905,-0.127533,-1.298454,-1.119124,-1.368192,-0.471415,-0.883951,-0.667491,-1.025314,-0.921766,-1.694988,-1.06894,-1.981615,-0.905507,-0.907691,0.881998
'\'(-inf-14.9]\'',-0.600715,-0.603515,-0.787704,0.381801,-1.704882,-0.172189,-1.298454,-1.118556,-1.367764,-0.471313,-0.883547,-0.667895,-1.02542,-0.921734,-1.695984,-1.069277,-1.973388,-0.924155,-0.917999,0.160437
'\'(-inf-14.9]\'',-0.574629,-0.581559,-0.710373,0.144506,-1.701663,-0.184634,-1.298454,-1.118556,-1.368039,-0.471251,-0.883244,-0.667895,-1.025295,-0.921667,-1.691009,-1.068283,-1.973388,-0.942802,-0.935179,0.46161
'\'(14.9-27.8]\'',-0.499704,-0.499792,-0.765289,0.143529,-1.702673,-0.221238,-1.298807,-1.117988,-1.368314,-0.47121,-0.882975,-0.667838,-1.025096,-0.921651,-1.674096,-1.069965,-1.940492,-0.931614,-0.938615,0.819253
'\'(14.9-27.8]\'',-0.450863,-0.456637,-0.759685,0.029426,-1.697654,-0.220506,-1.298454,-1.117988,-1.368039,-0.471087,-0.882588,-0.667838,-1.025193,-0.921615,-1.661165,-1.068562,-1.924044,-0.924155,-0.938615,0.467885
'\'(14.9-27.8]\'',-0.470288,-0.404397,-0.774255,-0.09509,-1.691626,-0.20074,-1.298454,-1.117419,-1.367825,-0.471046,-0.882234,-0.667606,-1.0248,-0.921476,-1.649225,-1.067857,-1.907596,-0.901778,-0.931743,0.731411
'\'(14.9-27.8]\'',-0.370942,-0.356699,-0.844861,-0.02308,-1.687018,-0.200008,-1.297514,-1.117419,-1.366788,-0.471046,-0.882016,-0.667433,-1.02464,-0.921385,-1.639277,-1.067931,-1.894436,-0.871942,-0.911127,1.107878
'\'(14.9-27.8]\'',-0.471398,-0.425596,-0.810118,-0.159922,-1.681494,-0.185366,-1.297279,-1.116851,-1.366391,-0.470923,-0.881679,-0.667375,-1.024547,-0.92132,-1.63132,-1.066879,-1.884565,-0.857024,-0.904255,0.662392
'\'(14.9-27.8]\'',-0.536889,-0.467236,-0.910985,-0.100813,-1.678654,-0.168529,-1.296809,-1.116283,-1.365841,-0.470862,-0.881359,-0.667202,-1.024406,-0.921266,-1.632311,-1.066711,-1.90924,-0.857024,-0.900819,0.700039
