@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R105,63,102,99,109,65,115,114,113,112,108,107,103,106,69,62,60,38,3,5,119'

@attribute CUSR0000SAS numeric
@attribute M2SL numeric
@attribute CPIMEDSL numeric
@attribute CPIAUCSL numeric
@attribute PCEPI numeric
@attribute BOGMBASE numeric
@attribute CES3000000008 numeric
@attribute CES2000000008 numeric
@attribute CES0600000008 numeric
@attribute DSERRG3M086SBEA numeric
@attribute CUSR0000SA0L5 numeric
@attribute CUSR0000SA0L2 numeric
@attribute CUSR0000SAC numeric
@attribute CPIULFSL numeric
@attribute REALLN numeric
@attribute M1SL numeric
@attribute BUSINVx numeric
@attribute SRVPRD numeric
@attribute DPCERA3M086SBEA numeric
@attribute RETAILx numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
-1.386738,-0.935794,-1.213464,-1.578646,-1.663206,-0.692391,-0.805676,-0.980561,-0.847358,-1.388625,-1.615108,-1.664429,-1.907638,-1.580509,-0.934333,-0.499087,-1.325513,-2.700257,-1.672117,-1.163298,'\'(-inf-6.266667]\''
-1.235693,-0.888578,-1.127649,-1.308209,-1.383484,-0.666682,-1.347045,-1.36836,-1.322141,-1.269715,-1.322746,-1.344893,-1.446542,-1.31052,-0.923614,-0.471866,-1.206679,-1.640161,-1.345819,-1.070886,'\'(-inf-6.266667]\''
-1.234799,-0.888393,-1.12708,-1.308327,-1.383026,-0.667086,-1.345678,-1.367268,-1.320914,-1.269285,-1.322746,-1.344893,-1.446542,-1.31052,-0.923443,-0.471763,-1.206269,-1.63651,-1.340759,-1.070207,'\'(-inf-6.266667]\''
-1.234799,-0.888141,-1.126512,-1.308679,-1.382721,-0.667144,-1.342944,-1.36836,-1.319688,-1.26877,-1.322746,-1.344893,-1.448231,-1.31052,-0.923333,-0.471702,-1.205656,-1.631883,-1.336115,-1.069429,'\'(-inf-6.266667]\''
-1.233906,-0.887989,-1.126512,-1.308562,-1.381805,-0.666913,-1.341577,-1.366175,-1.318461,-1.267739,-1.322746,-1.344893,-1.448231,-1.309341,-0.92316,-0.471702,-1.204046,-1.628514,-1.337908,-1.069371,'\'(-inf-6.266667]\''
-1.233012,-0.887636,-1.125944,-1.307857,-1.381561,-0.666913,-1.341577,-1.365083,-1.317234,-1.267252,-1.322746,-1.344893,-1.446542,-1.308162,-0.922994,-0.471497,-1.203351,-1.624737,-1.331919,-1.068635,'\'(-inf-6.266667]\''
-1.233012,-0.887316,-1.125376,-1.307034,-1.380218,-0.666798,-1.34021,-1.362898,-1.317234,-1.266192,-1.321507,-1.343599,-1.446542,-1.306983,-0.922854,-0.471395,-1.202123,-1.623258,-1.330094,-1.067773,'\'(-inf-6.266667]\''
-1.232118,-0.887131,-1.125376,-1.306564,-1.379241,-0.666509,-1.34021,-1.361806,-1.317234,-1.265133,-1.320269,-1.342306,-1.446542,-1.306983,-0.922739,-0.471292,-1.201169,-1.621495,-1.331791,-1.067805,'\'(-inf-6.266667]\''
-1.231224,-0.886929,-1.124807,-1.306211,-1.37857,-0.666567,-1.342944,-1.359621,-1.317234,-1.264274,-1.320269,-1.342306,-1.446542,-1.305804,-0.922645,-0.471251,-1.200964,-1.621117,-1.32878,-1.067195,'\'(-inf-6.266667]\''
-1.230331,-0.886879,-1.124239,-1.305388,-1.377349,-0.666567,-1.341577,-1.358529,-1.317234,-1.263386,-1.31903,-1.341012,-1.443164,-1.305804,-0.922561,-0.471435,-1.201496,-1.618316,-1.32372,-1.068451,'\'(-inf-6.266667]\''
-1.229437,-0.886912,-1.124239,-1.304213,-1.376219,-0.666567,-1.342944,-1.356344,-1.317234,-1.262383,-1.31903,-1.341012,-1.443164,-1.304625,-0.922454,-0.471538,-1.201101,-1.616521,-1.327179,-1.067757,'\'(-inf-6.266667]\''
-1.229437,-0.886811,-1.123671,-1.304213,-1.375914,-0.666451,-1.342944,-1.355251,-1.317234,-1.26161,-1.31903,-1.341012,-1.443164,-1.304625,-0.922363,-0.471558,-1.201223,-1.613594,-1.327403,-1.070276,'\'(-inf-6.266667]\''
