@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R102,63,105,115,112,65,114,113,108,109,99,106,69,118,22,62,107,103,60,38,3,5,117,111,1,119'

@attribute CPIMEDSL numeric
@attribute M2SL numeric
@attribute CUSR0000SAS numeric
@attribute CES3000000008 numeric
@attribute DSERRG3M086SBEA numeric
@attribute BOGMBASE numeric
@attribute CES2000000008 numeric
@attribute CES0600000008 numeric
@attribute CUSR0000SA0L5 numeric
@attribute PCEPI numeric
@attribute CPIAUCSL numeric
@attribute CPIULFSL numeric
@attribute REALLN numeric
@attribute INVEST numeric
@attribute CLF16OV numeric
@attribute M1SL numeric
@attribute CUSR0000SA0L2 numeric
@attribute CUSR0000SAC numeric
@attribute BUSINVx numeric
@attribute SRVPRD numeric
@attribute DPCERA3M086SBEA numeric
@attribute RETAILx numeric
@attribute DTCTHFNM numeric
@attribute DNDGRG3M086SBEA numeric
@attribute RPI numeric
@attribute UNRATE {'\'(-inf-6.266667]\'','\'(6.266667-10.533333]\'','\'(10.533333-inf)\''}

@data
-1.213464,-0.935794,-1.386738,-0.805676,-1.388625,-0.692391,-0.980561,-0.847358,-1.615108,-1.663206,-1.578646,-1.580509,-0.934333,-0.892547,-3.838839,-0.499087,-1.664429,-1.907638,-1.325513,-2.700257,-1.672117,-1.163298,-1.051117,-1.831186,-1.87346,'\'(-inf-6.266667]\''
-1.127649,-0.888578,-1.235693,-1.347045,-1.269715,-0.666682,-1.36836,-1.322141,-1.322746,-1.383484,-1.308209,-1.31052,-0.923614,-0.841497,-1.717807,-0.471866,-1.344893,-1.446542,-1.206679,-1.640161,-1.345819,-1.070886,-1.015128,-1.440651,-1.372834,'\'(-inf-6.266667]\''
-1.12708,-0.888393,-1.234799,-1.345678,-1.269285,-0.667086,-1.367268,-1.320914,-1.322746,-1.383026,-1.308327,-1.31052,-0.923443,-0.841938,-1.726768,-0.471763,-1.344893,-1.446542,-1.206269,-1.63651,-1.340759,-1.070207,-1.015128,-1.440396,-1.370886,'\'(-inf-6.266667]\''
-1.126512,-0.888141,-1.234799,-1.342944,-1.26877,-0.667144,-1.36836,-1.319688,-1.322746,-1.382721,-1.308679,-1.31052,-0.923333,-0.84317,-1.713686,-0.471702,-1.344893,-1.448231,-1.205656,-1.631883,-1.336115,-1.069429,-1.014979,-1.440809,-1.367624,'\'(-inf-6.266667]\''
-1.126512,-0.887989,-1.233906,-1.341577,-1.267739,-0.666913,-1.366175,-1.318461,-1.322746,-1.381805,-1.308562,-1.309341,-0.92316,-0.84306,-1.705224,-0.471702,-1.344893,-1.448231,-1.204046,-1.628514,-1.337908,-1.069371,-1.014583,-1.44046,-1.364314,'\'(-inf-6.266667]\''
-1.125944,-0.887636,-1.233012,-1.341577,-1.267252,-0.666913,-1.365083,-1.317234,-1.322746,-1.381561,-1.307857,-1.308162,-0.922994,-0.843764,-1.710251,-0.471497,-1.344893,-1.446542,-1.203351,-1.624737,-1.331919,-1.068635,-1.014109,-1.441095,-1.361349,'\'(-inf-6.266667]\''
-1.125376,-0.887316,-1.233012,-1.34021,-1.266192,-0.666798,-1.362898,-1.317234,-1.321507,-1.380218,-1.307034,-1.306983,-0.922854,-0.845091,-1.707129,-0.471395,-1.343599,-1.446542,-1.202123,-1.623258,-1.330094,-1.067773,-1.013289,-1.439793,-1.359772,'\'(-inf-6.266667]\''
-1.125376,-0.887131,-1.232118,-1.34021,-1.265133,-0.666509,-1.361806,-1.317234,-1.320269,-1.379241,-1.306564,-1.306983,-0.922739,-0.844895,-1.698979,-0.471292,-1.342306,-1.446542,-1.201169,-1.621495,-1.331791,-1.067805,-1.01249,-1.439189,-1.36007,'\'(-inf-6.266667]\''
-1.124807,-0.886929,-1.231224,-1.342944,-1.264274,-0.666567,-1.359621,-1.317234,-1.320269,-1.37857,-1.306211,-1.305804,-0.922645,-0.846001,-1.70232,-0.471251,-1.342306,-1.446542,-1.200964,-1.621117,-1.32878,-1.067195,-1.011693,-1.438078,-1.36297,'\'(-inf-6.266667]\''
-1.124239,-0.886879,-1.230331,-1.341577,-1.263386,-0.666567,-1.358529,-1.317234,-1.31903,-1.377349,-1.305388,-1.305804,-0.922561,-0.846269,-1.698792,-0.471435,-1.341012,-1.443164,-1.201496,-1.618316,-1.32372,-1.068451,-1.011149,-1.436553,-1.362579,'\'(-inf-6.266667]\''
-1.124239,-0.886912,-1.229437,-1.342944,-1.262383,-0.666567,-1.356344,-1.317234,-1.31903,-1.376219,-1.304213,-1.304625,-0.922454,-0.846706,-1.690174,-0.471538,-1.341012,-1.443164,-1.201101,-1.616521,-1.327179,-1.067757,-1.010718,-1.435155,-1.361928,'\'(-inf-6.266667]\''
-1.123671,-0.886811,-1.229437,-1.342944,-1.26161,-0.666451,-1.355251,-1.317234,-1.31903,-1.375914,-1.304213,-1.304625,-0.922363,-0.846931,-1.699167,-0.471558,-1.341012,-1.443164,-1.201223,-1.613594,-1.327403,-1.070276,-1.01047,-1.43614,-1.358039,'\'(-inf-6.266667]\''
-1.123671,-0.886694,-1.228543,-1.337476,-1.26098,-0.666104,-1.356344,-1.313553,-1.317791,-1.375365,-1.303508,-1.303446,-0.922152,-0.84674,-1.684773,-0.471661,-1.339718,-1.443164,-1.199873,-1.606574,-1.32798,-1.070707,-1.009975,-1.436013,-1.352749,'\'(-inf-6.266667]\''
-1.123102,-0.886626,-1.228543,-1.334741,-1.260722,-0.666567,-1.355251,-1.3111,-1.31903,-1.375639,-1.303978,-1.302267,-0.922086,-0.84721,-1.685772,-0.47164,-1.339718,-1.443164,-1.198796,-1.605504,-1.32657,-1.06821,-1.00996,-1.436966,-1.351064,'\'(-inf-6.266667]\''
-1.122534,-0.886593,-1.227649,-1.333374,-1.260207,-0.667202,-1.353067,-1.309873,-1.317791,-1.375151,-1.303508,-1.302267,-0.922044,-0.848591,-1.686178,-0.471661,-1.339718,-1.444853,-1.197377,-1.601569,-1.324361,-1.067857,-1.009723,-1.436934,-1.350463,'\'(-inf-6.266667]\''
-1.121966,-0.886441,-1.226756,-1.333374,-1.260035,-0.66726,-1.342143,-1.308646,-1.317791,-1.374876,-1.303508,-1.302267,-0.921993,-0.84977,-1.703351,-0.471681,-1.339718,-1.443164,-1.196327,-1.596123,-1.317154,-1.067962,-1.009445,-1.435854,-1.349479,'\'(-inf-6.266667]\''
-1.121397,-0.886307,-1.226756,-1.333374,-1.259405,-0.667144,-1.350882,-1.309873,-1.316552,-1.373167,-1.30198,-1.302267,-0.921967,-0.849808,-1.666507,-0.471722,-1.338425,-1.441475,-1.196314,-1.58712,-1.309212,-1.06546,-1.008935,-1.432169,-1.347657,'\'(-inf-6.266667]\''
-1.121397,-0.886172,-1.225862,-1.333374,-1.258603,-0.667144,-1.347605,-1.308646,-1.316552,-1.372679,-1.301627,-1.302267,-0.921972,-0.849668,-1.66504,-0.471722,-1.337131,-1.441475,-1.195536,-1.595494,-1.319749,-1.066922,-1.008508,-1.432423,-1.346388,'\'(-inf-6.266667]\''
-1.121397,-0.885936,-1.225862,-1.333374,-1.25803,-0.666971,-1.347605,-1.308646,-1.316552,-1.372465,-1.301157,-1.302267,-0.921989,-0.849994,-1.655423,-0.471722,-1.337131,-1.441475,-1.19525,-1.595273,-1.319877,-1.067053,-1.007755,-1.43255,-1.345985,'\'(-inf-6.266667]\''
-1.120829,-0.885633,-1.224968,-1.333374,-1.257286,-0.666682,-1.34542,-1.307419,-1.316552,-1.37161,-1.301862,-1.301088,-0.921984,-0.848809,-1.661324,-0.471599,-1.337131,-1.443164,-1.194732,-1.594392,-1.31882,-1.06802,-1.007135,-1.431629,-1.345037,'\'(-inf-6.266667]\''
